author,author_url,avg_rating,book_url,cover_url,ratings_count,title,source
Virginia Woolf,https://www.goodreads.com/author/show/6765.Virginia_Woolf,4.22,https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883012i/18521._SY75_.jpg,4,A Room of One’s Own,Best Feminist Books
Simone de Beauvoir,https://www.goodreads.com/author/show/5548.Simone_de_Beauvoir,4.18,https://www.goodreads.com/book/show/457264.The_Second_Sex,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327978178i/457264._SY75_.jpg,4,The Second Sex,Best Feminist Books
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.3,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,4,Pride and Prejudice,Best Feminist Books
Alice Walker,https://www.goodreads.com/author/show/7380.Alice_Walker,4.28,https://www.goodreads.com/book/show/11486.The_Color_Purple,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556348375i/11486._SY75_.jpg,4,"The Color Purple (The Color Purple, #1)",Best Feminist Books
Charlotte Perkins Gilman,https://www.goodreads.com/author/show/29527.Charlotte_Perkins_Gilman,4.06,https://www.goodreads.com/book/show/286957.The_Yellow_Wall_Paper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1746311262i/286957._SX50_.jpg,4,The Yellow Wall-Paper,Best Feminist Books
Chimamanda Ngozi Adichie,https://www.goodreads.com/author/show/19992417.Chimamanda_Ngozi_Adichie,4.39,https://www.goodreads.com/book/show/22738563-we-should-all-be-feminists,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430821222i/22738563._SX50_.jpg,4,We Should All Be Feminists,Best Feminist Books
Maya Angelou,https://www.goodreads.com/author/show/3503.Maya_Angelou,4.3,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214._SY75_.jpg,4,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Best Feminist Books
Kathryn Stockett,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett,4.47,https://www.goodreads.com/book/show/4667024-the-help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg,4,The Help,Best Feminist Books
Suzanne Collins,https://www.goodreads.com/author/show/153394.Suzanne_Collins,4.35,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg,4,"The Hunger Games (The Hunger Games, #1)",Best Feminist Books
Laurie Halse Anderson,https://www.goodreads.com/author/show/10003.Laurie_Halse_Anderson,4.05,https://www.goodreads.com/book/show/439288.Speak,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310121762i/439288._SY75_.jpg,4,Speak,Best Feminist Books
bell hooks,https://www.goodreads.com/author/show/10697.bell_hooks,4.16,https://www.goodreads.com/book/show/168484.Feminism_Is_for_Everybody,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327933698i/168484._SY75_.jpg,4,Feminism Is for Everybody: Passionate Politics,Best Feminist Books
Anita Diamant,https://www.goodreads.com/author/show/626222.Anita_Diamant,4.21,https://www.goodreads.com/book/show/4989.The_Red_Tent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989._SY75_.jpg,4,The Red Tent,Best Feminist Books
Margaret Mitchell,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,4.31,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,4,Gone with the Wind,Best Feminist Books
Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,4.46,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg,4,A Thousand Splendid Suns,Best Feminist Books
Stieg Larsson,https://www.goodreads.com/author/show/706255.Stieg_Larsson,4.18,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135._SX50_.jpg,4,"The Girl With the Dragon Tattoo (Millennium, #1)",Best Feminist Books
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.05,https://www.goodreads.com/book/show/6969.Emma,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373627931i/6969._SY75_.jpg,4,Emma,Best Feminist Books
Angela Y. Davis,https://www.goodreads.com/author/show/5863103.Angela_Y_Davis,4.59,https://www.goodreads.com/book/show/635635.Women_Race_Class,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629762234i/635635._SY75_.jpg,4,"Women, Race & Class",Best Feminist Books
Marjane Satrapi,https://www.goodreads.com/author/show/6238.Marjane_Satrapi,4.41,https://www.goodreads.com/book/show/991197.The_Complete_Persepolis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327876995i/991197._SX50_.jpg,4,The Complete Persepolis,Best Feminist Books
Ursula K. Le Guin,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.09,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488213612i/18423._SY75_.jpg,4,The Left Hand of Darkness,Best Feminist Books
Marion Zimmer Bradley,https://www.goodreads.com/author/show/4841825.Marion_Zimmer_Bradley,4.13,https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388857089i/402045._SY75_.jpg,4,"The Mists of Avalon (Avalon, #1)",Best Feminist Books
