title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
Feminism/Postmodernism	1991	1908	Uma Narayan	1. Uma Narayan	False	closed	https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2899084033; https://openalex.org/W2778153218; https://openalex.org/W2748952813; https://openalex.org/W1531601525; https://openalex.org/W2367594158; https://openalex.org/W2384549566; https://openalex.org/W2257945061	Postmodernism; Feminism; Sociology; Art; Gender studies; Literature	Political and Economic history of UK and US; Historical Gender and Feminism Studies; Gender, Feminism, and Media	Social Sciences	Social Sciences	Political Science and International Relations	en	article
A manifesto for cyborgs: Science, technology, and socialist feminism in the 1980s	1994	2043	Donna Haraway	1. Donna Haraway	False	closed	https://openalex.org/W4210328163; https://openalex.org/W3195660672; https://openalex.org/W2124276731; https://openalex.org/W1573201891; https://openalex.org/W3194727952; https://openalex.org/W1036048407; https://openalex.org/W2485259074; https://openalex.org/W3123390292; https://openalex.org/W2283009831; https://openalex.org/W1185307393	Blasphemy; Feminism; Politics; Manifesto; Irony; Political science; Faith; Rhetorical question; Hindutva; Aesthetics; Gender studies; Sociology; Philosophy; Religious studies; Law; Literature; Art; Ideology; Epistemology	Russian Literature and Bakhtin Studies; Rhetoric and Communication Studies; Themes in Literature Analysis	Social Sciences	Social Sciences	Education	en	book-chapter
Feminism and the Mastery of Nature	1996	1278	Bruce Bratley; Rob Krueger; Val Plumwood	1. Bruce Bratley; 2. Rob Krueger; 3. Val Plumwood	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W3161492277; https://openalex.org/W2209906412	Feminism; Sociology; Gender studies	Environmental Philosophy and Ethics; Religion, Ecology, and Ethics; Ecocriticism and Environmental Literature	Physical Sciences	Environmental Science	Nature and Landscape Conservation	en	article
Gender Trouble: Feminism and the Subversion of Identity	1991	2216	Mary McIntosh	1. Mary McIntosh	False	closed	https://openalex.org/W2612162581; https://openalex.org/W4214648728; https://openalex.org/W2065531354; https://openalex.org/W1537344274; https://openalex.org/W2321828107; https://openalex.org/W4233191760; https://openalex.org/W2062346452; https://openalex.org/W2011283958; https://openalex.org/W2007009931; https://openalex.org/W2330333075	Subversion; Feminism; Gender studies; Human sexuality; Cultural studies; Sociology; Identity (music); Anthropology; Political science; Art; Politics; Law; Aesthetics	Gender Politics and Representation; Gender, Labor, and Family Dynamics; Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Gender Studies	en	article
Third world women and the politics of feminism	1992	2039	Godwin Ohiwerei	1. Godwin Ohiwerei	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Politics; Gender studies; Political science; Sociology; Law	Gender Politics and Representation; Historical and Contemporary Political Dynamics	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and Youth Culture	1991	1043	Ángela McRobbie	1. Ángela McRobbie	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Romance; Gender studies; Youth culture; Sociology; Art; Literature	Youth Education and Societal Dynamics	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Volatile Bodies: Toward a Corporeal Feminism	1995	1782	Linda Abbandonato De Flavis; Elizabeth Grosz	1. Linda Abbandonato De Flavis; 2. Elizabeth Grosz	False	closed	https://openalex.org/W4387497383; https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2948807893; https://openalex.org/W2899084033; https://openalex.org/W2778153218; https://openalex.org/W2758277628; https://openalex.org/W2748952813; https://openalex.org/W1531601525	Feminism; Aesthetics; Art; Sociology; Gender studies	Simone de Beauvoir and Sartre; Interdisciplinary Cultural and Social Studies; Posthumanist Ethics and Activism	Social Sciences	Arts and Humanities	Philosophy	en	article
Modest_Witness@Second_Millenium.FemaleMan_Meets_OncoMouse: Feminism and Technoscience	1997	1588	Donna Haraway; Lynn M. Randolph	1. Donna Haraway; 2. Lynn M. Randolph	False	closed	https://openalex.org/W583035548; https://openalex.org/W2764540120; https://openalex.org/W2335400770; https://openalex.org/W2327521297; https://openalex.org/W2323828001; https://openalex.org/W2266294403; https://openalex.org/W2093745972; https://openalex.org/W2072326761; https://openalex.org/W2056879345; https://openalex.org/W2053501256; https://openalex.org/W2042349004; https://openalex.org/W2038600245; https://openalex.org/W2013445710; https://openalex.org/W2000653644; https://openalex.org/W1996149054; https://openalex.org/W1644932108; https://openalex.org/W1601300738; https://openalex.org/W1578807507; https://openalex.org/W1505563434; https://openalex.org/W1490781083	Witness; Technoscience; Politics; Feminism; Media studies; Sociology; Publishing; Literacy; Gender studies; Social science; Political science; Law; Pedagogy	History of Computing Technologies; Science Education and Perceptions; History of Science and Medicine	Physical Sciences	Computer Science	Computer Science Applications	en	book
A Cyborg Manifesto: Science, Technology, and Socialist-Feminism in the Late Twentieth Century	2013	2609	Donna Haraway	1. Donna Haraway	False	closed	https://openalex.org/W2332086916; https://openalex.org/W2327521297; https://openalex.org/W2323828001; https://openalex.org/W2266294403; https://openalex.org/W2056879345; https://openalex.org/W2053501256; https://openalex.org/W2042349004; https://openalex.org/W2038600245; https://openalex.org/W2000653644; https://openalex.org/W1996149054; https://openalex.org/W1644932108; https://openalex.org/W1601300738; https://openalex.org/W1578807507; https://openalex.org/W1505563434; https://openalex.org/W1495038747; https://openalex.org/W583035548; https://openalex.org/W2167757977; https://openalex.org/W1987930784; https://openalex.org/W129667016; https://openalex.org/W2000138195	Manifesto; Feminism; Political science; Art history; Art; Sociology; Gender studies; Law	Bioethics and Human Rights Issues; Art, Politics, and Modernism; Posthumanist Ethics and Activism	Physical Sciences	Computer Science	Information Systems	en	article
Post‐feminism and popular culture	2004	1288	Ángela McRobbie	1. Ángela McRobbie	False	closed	https://openalex.org/W2361325130; https://openalex.org/W4213335015; https://openalex.org/W2376905723; https://openalex.org/W2945813080; https://openalex.org/W1881843516; https://openalex.org/W314871458; https://openalex.org/W2364733638; https://openalex.org/W2379219863; https://openalex.org/W2358274984; https://openalex.org/W2363211111	Pornography; Feminism; Newspaper; Blame; Sociology; Media studies; Slang; Gender studies; Sensibility; Irony; History; Law; Psychology; Political science; Literature; Art; Social psychology; Linguistics; Philosophy	Gender, Feminism, and Media; Youth Education and Societal Dynamics; Housing, Finance, and Neoliberalism	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism Confronts Technology	1993	1044	Teresa Rees; Judy Wajcman	1. Teresa Rees; 2. Judy Wajcman	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W3161492277; https://openalex.org/W2209906412	Feminism; Sociology; Gender studies	Science Education and Perceptions	Social Sciences	Psychology	Developmental and Educational Psychology	en	article
Feminism and Nationalism in the Third World	1986	1134	Kumari Jayawardena	1. Kumari Jayawardena	False	closed	https://openalex.org/W2121393013; https://openalex.org/W2048294492; https://openalex.org/W2042441946; https://openalex.org/W2025843602; https://openalex.org/W1987351853; https://openalex.org/W2796383290; https://openalex.org/W2072409728; https://openalex.org/W637306354; https://openalex.org/W2797391962; https://openalex.org/W2318998509; https://openalex.org/W2026084588; https://openalex.org/W123399014; https://openalex.org/W2003337384; https://openalex.org/W2038600245; https://openalex.org/W2335412546; https://openalex.org/W1525179934; https://openalex.org/W2223221626; https://openalex.org/W2123143461; https://openalex.org/W1552494050; https://openalex.org/W1550556818	Feminism; Nationalism; Ideology; China; Poverty; Gender studies; Political science; Colonialism; Power (physics); Geography; Development economics; Politics; Sociology; Law; Physics; Economics; Quantum mechanics	Asian Studies and History; Historical and Contemporary Political Dynamics; Gender Politics and Representation	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Feminism and psychoanalytic theory	1990	913	Chodorow, Nancy J. (1944-...)	1. Chodorow, Nancy J. (1944-...)	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W1993207661; https://openalex.org/W172702172; https://openalex.org/W2008517692; https://openalex.org/W4283774608; https://openalex.org/W4238034024; https://openalex.org/W2517337514; https://openalex.org/W4230473776	Psychoanalytic theory; Feminism; Sociology; Psychoanalysis; Gender studies; Psychology	Psychotherapy Techniques and Applications	Social Sciences	Psychology	Clinical Psychology	en	article
Woman, Native, Other: Writing Postcoloniality and Feminism	1990	1835	Lisa Lowe; T. Minh-ha Trinh	1. Lisa Lowe; 2. T. Minh-ha Trinh	False	closed	https://openalex.org/W2317596408; https://openalex.org/W1987033788; https://openalex.org/W2084043941; https://openalex.org/W1974317653; https://openalex.org/W2754513840; https://openalex.org/W4306957361; https://openalex.org/W1484437451; https://openalex.org/W2945638871; https://openalex.org/W4253850973; https://openalex.org/W1946080426	Feminism; Gender studies; Sociology; Art	Socioeconomic Development in MENA	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Feminism Is for Everybody	2014	769	bell hooks	1. bell hooks	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Gender studies; Sociology; Political science	Political Economy and Marxism	Social Sciences	Social Sciences	Sociology and Political Science	en	book
The Rise of Neoliberal Feminism	2013	907	Catherine Rottenberg	1. Catherine Rottenberg	False	closed	https://openalex.org/W429811345; https://openalex.org/W2377237701; https://openalex.org/W2360099860; https://openalex.org/W2946598547; https://openalex.org/W1583826057; https://openalex.org/W2352463596; https://openalex.org/W2380850119; https://openalex.org/W2392615731; https://openalex.org/W2101450440; https://openalex.org/W3135810314	Feminism; Neoliberalism (international relations); Sociology; Subject (documents); Gender studies; Mainstream; Liberalism; Subjectivity; Political science; Politics; Political economy; Law; Epistemology; Philosophy; Library science; Computer science	Foucault, Power, and Ethics; Feminism, Gender, and Sexuality Studies; Gender, Feminism, and Media	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Feminism and methodology	1988	1072	Angela Miles	1. Angela Miles	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W3161492277; https://openalex.org/W1994426242; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199	Feminism; Sociology; Gender studies	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and the Mastery of Nature	2019	1213	Val Plumwood	1. Val Plumwood	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W3161492277; https://openalex.org/W2209906412	Feminism; Psychology; Sociology; Gender studies	Religion, Ecology, and Ethics	Social Sciences	Social Sciences	Sociology and Political Science	en	book-chapter
The Unhappy Marriage of Marxism and Feminism: Towards a more Progressive Union	1979	1360	Heidi Hartmann	1. Heidi Hartmann	False	closed	https://openalex.org/W2352011191; https://openalex.org/W2355517723; https://openalex.org/W2370849539; https://openalex.org/W2213611934; https://openalex.org/W2501312555; https://openalex.org/W4241872278; https://openalex.org/W4385234706; https://openalex.org/W2387645505; https://openalex.org/W2362818250; https://openalex.org/W2393364001	Feminism; Marxist philosophy; Patriarchy; Capitalism; Sociology; Gender studies; Relation (database); Neoclassical economics; Political science; Economics; Law; Politics; Database; Computer science	Gender, Labor, and Family Dynamics; Political Economy and Marxism; Social Policy and Reform Studies	Social Sciences	Social Sciences	Gender Studies	en	article
The Disorder of Women: Democracy, Feminism, and Political Theory	1990	1229	Carole Pateman	1. Carole Pateman	False	closed	https://openalex.org/W3176401169; https://openalex.org/W2335412546; https://openalex.org/W2005061283; https://openalex.org/W1993477204; https://openalex.org/W1977905103; https://openalex.org/W1533200881; https://openalex.org/W1496047290; https://openalex.org/W615958468; https://openalex.org/W2797517526; https://openalex.org/W2554047350; https://openalex.org/W2317959619; https://openalex.org/W1999717790; https://openalex.org/W1487018945; https://openalex.org/W567700264; https://openalex.org/W565532487; https://openalex.org/W565317538; https://openalex.org/W255455028; https://openalex.org/W231482109; https://openalex.org/W116803848; https://openalex.org/W111369087	Feminism; Politics; Democracy; Obligation; Sociology; Gender studies; Political philosophy; Political science; Humanity; Social contract; Reification (Marxism); Law	Political Economy and Marxism	Social Sciences	Social Sciences	Sociology and Political Science	en	book
The Bonds of Love: Psychoanalysis, Feminism, and the Problem of Domination	1988	1663	Jessica Benjamin	1. Jessica Benjamin	False	closed	https://openalex.org/W605277837; https://openalex.org/W332755474; https://openalex.org/W3143515237; https://openalex.org/W2798823261; https://openalex.org/W2798766946; https://openalex.org/W2165724740; https://openalex.org/W2053501256; https://openalex.org/W2038600245; https://openalex.org/W2022092689; https://openalex.org/W1984922039; https://openalex.org/W1775889815; https://openalex.org/W1735349938; https://openalex.org/W1719982067; https://openalex.org/W1690559809; https://openalex.org/W1614549126; https://openalex.org/W1554411713; https://openalex.org/W1527968558; https://openalex.org/W304830213; https://openalex.org/W2798327866; https://openalex.org/W1535440274	Psychoanalytic theory; Pleasure; Subject (documents); Appeal; Power (physics); Feminism; Object (grammar); Sociology; Psychoanalysis; Criticism; Gender studies; Psychology; Philosophy; Political science; Law; Psychotherapist; Library science; Computer science; Physics; Linguistics; Quantum mechanics	Psychoanalysis, Philosophy, and Politics	Social Sciences	Psychology	Clinical Psychology	en	book
The Rise of Neoliberal Feminism	2018	773	Catherine Rottenberg	1. Catherine Rottenberg	True	green	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Gender studies; Sociology; Political science	Gender, Feminism, and Media; Political and Economic history of UK and US; Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	book
Ain't I a Woman: Black Women and Feminism, <i>by Bell Hooks</i>	1983	1493	Linda M. Perkins	1. Linda M. Perkins	False	closed	https://openalex.org/W2073381325; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4240392721; https://openalex.org/W2799965710; https://openalex.org/W4366549887; https://openalex.org/W2184204831; https://openalex.org/W240323407; https://openalex.org/W2054158881	Feminism; Black women; Black feminism; Politics; Gender studies; Art; Art history; Sociology; Political science; Law	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Third World Women and the Politics of Feminism	1993	1017	Charlotte H. Bruner; Chandra Talpade Mohanty; Ann Russo; Lourdes Torres	1. Charlotte H. Bruner; 2. Chandra Talpade Mohanty; 3. Ann Russo; 4. Lourdes Torres	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Politics; Gender studies; Political science; Sociology; Law	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and Methodology: Social Science Issues	1988	1032	Sandra Harding	1. Sandra Harding	False	closed	https://openalex.org/W2329395632; https://openalex.org/W2139967826; https://openalex.org/W2128218911; https://openalex.org/W2078186038; https://openalex.org/W2038600245; https://openalex.org/W2033952602; https://openalex.org/W2005061283; https://openalex.org/W1601300738; https://openalex.org/W2093745972; https://openalex.org/W3143515237; https://openalex.org/W2043533996; https://openalex.org/W3144457630; https://openalex.org/W2029648951; https://openalex.org/W1597750586; https://openalex.org/W1488749369; https://openalex.org/W1741321747; https://openalex.org/W1527311855; https://openalex.org/W1525179934; https://openalex.org/W1987351853; https://openalex.org/W1898440351	Feminism; Sociology; Dialectic; Gender studies; Politics; Psychoanalysis; Social science; Epistemology; Philosophy; Political science; Psychology; Law	Contemporary Sociological Theory and Practice	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Psychoanalysis and Feminism.	1975	865	Miriam M. Johnson; Juliet Mitchell	1. Miriam M. Johnson; 2. Juliet Mitchell	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W3161492277; https://openalex.org/W2209906412	Feminism; Psychoanalysis; Sociology; Psychology; Gender studies	Psychotherapy Techniques and Applications	Social Sciences	Psychology	Clinical Psychology	en	article
Feminism and methodology	1989	853	Richard I. Wark	1. Richard I. Wark	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Sociology; Gender studies; Political science	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and criminology	1988	840	Kathleen Daly; Meda Chesney‐Lind	1. Kathleen Daly; 2. Meda Chesney‐Lind	True	green	https://openalex.org/W2378994405; https://openalex.org/W2385974820; https://openalex.org/W2373478030; https://openalex.org/W2378679551; https://openalex.org/W3149739944; https://openalex.org/W2392363776; https://openalex.org/W2063051341; https://openalex.org/W2764864140; https://openalex.org/W2244841446; https://openalex.org/W2202690955	Feminism; Criminology; Sketch; Criminal justice; Relevance (law); Sociology; Economic Justice; Feminist theory; Gender studies; Political science; Law; Computer science; Algorithm	Criminal Justice and Corrections Analysis; Crime Patterns and Interventions; Feminism, Gender, and Sexuality Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Essentially Speaking: Feminism, Nature and Difference	1991	1196	Anna Marie Smith; Diana Fuss	1. Anna Marie Smith; 2. Diana Fuss	False	closed	https://openalex.org/W2612162581; https://openalex.org/W4214648728; https://openalex.org/W2065531354; https://openalex.org/W1537344274; https://openalex.org/W2004633170; https://openalex.org/W4233191760; https://openalex.org/W2011283958; https://openalex.org/W2007009931; https://openalex.org/W2094403418; https://openalex.org/W4231213744	Feminism; Cultural studies; Gender studies; Human sexuality; Sociology; Anthropology	Environmental Philosophy and Ethics	Physical Sciences	Environmental Science	Nature and Landscape Conservation	en	article
